Filename,Degradation_Type,Degradation_Suffix,OpenL3_Similarity,VGGish_Similarity,PESQ_Score,STOI_Score
speech,Noise (Low),noise_low,0.99193186,0.9073008,2.4659063816070557,0.9994697665194682
speech,Noise (High),noise_high,0.9845616,0.88179934,1.1986311674118042,0.9882414637925109
speech,Noise (Extreme),noise_extreme,0.97823113,0.8593274,1.0657553672790527,0.9631978254476576
speech,Bitrate (Low),bitrate_low,0.9915071,0.95848656,3.655895471572876,0.9952094953385421
speech,Bitrate (High),bitrate_high,0.9830654,0.929561,2.7383933067321777,0.9047116135690664
speech,Bitrate (Extreme),bitrate_extreme,0.9784111,0.91180724,2.08626389503479,0.8404718813513907
speech,Compression (Low),compression_low,0.9857644,0.95159155,4.070455074310303,0.999997279149609
speech,Compression (High),compression_high,0.98862714,0.94630384,2.5166337490081787,0.9992090398909774
speech,Compression (Extreme),compression_extreme,0.9420381,0.80709475,1.0399683713912964,0.8613135343577188
